,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
158,Masaryk Memorial Institute Inc.,"The role and mission of the Masaryk Memorial Institute is to provide a cultural, educational, and athletic centre for the general benefit of all, whether or not of Czechoslovak origin and to promote the collection and dissemination of the best in Canadia",,http://masaryktown.ca/,Community,450 Scarborough Golf Club Road,327627.001,4845806.116,-79.216340695,43.753861181,37726.0,159,POINT (-79.216340695 43.753861181)
159,Czech and Slovak Canada Day Festival,"Czech and Slovak Canada day festival celebrates the ethnic and diverse community, showing off talents through art froms such as dance and traional costume. It is open to all the ages. Children can enjoy bonfire. The festival is held annually during the l",,http://masaryktown.ca/,Community,450 Scarborough Golf Club Road,327648.001,4845806.116,-79.216079922,43.753860538,37727.0,160,POINT (-79.21607992200001 43.753860538)
160,Gold Picture Frames Gallery Wall,"For over 30 years, Gold Picture Frames has been committed to promoting and supporting artists within the Scarborough community. ÿWith expansion, Gold Picture Frames have incorporated more space to serve the needs of both new and established artists in th",,http://www.gallerywall.ca/,Creative,3083 Kingston Road,326525.374,4842794.839,-79.2301445392,43.7267972663,37728.0,161,POINT (-79.2301445392384 43.7267972662817)
161,Acoustic Harvest Folk Club,"Acoustic Harvest Folk Club presents a monthly concert series featuring the finest local, national and international acoustic roots music in Toronto.",https://www.facebook.com/pages/Acoustic-Harvest/160540537291009,http://www.acousticharvest.ca,Creative,1512 Kingston Road,323392.095,4838650.13,-79.2691791954,43.6895750867,37729.0,162,POINT (-79.2691791953629 43.6895750867218)
162,Cathedral Bluffs Symphony Orchestra,"Cathedral Bluffs Symphony Orchestra is a registered, non-profit, charitable organization that is passionate about the power of orchestral music and the impact it has in love performance.",,http://www.cathedralbluffs.com,Creative,5183 Sheppard Avenue East,326231.708,4850335.863,-79.233487478,43.794675633,37730.0,163,POINT (-79.233487478 43.794675633)
163,Cedar Ridge Creative Centre,"Cedar Ridge Creative Centre is a vibrant arts hub housed in a historic mansion. Built as a family home in 1912, Cedar Ridge is surrounded by lush gardens and scenic woods with a variety of walking trails.",https://www.facebook.com/cedarridgecreativecentre,http://www.toronto.ca/cedarridge,Creative,225 Confederation Drive,328374.187,4846212.175,-79.207044523,43.757492994,37731.0,164,POINT (-79.20704452299999 43.757492994)
164,Doris McCarthy Gallery (DMG),"Doris McCarthy Gallery is visionary professional art gallery dedicated to the collection, presentation and dissemination of contemporary art in all media.
",,,Creative,1265 Military Trail,330027.415,4849157.564,-79.186376124,43.783950091,37733.0,165,POINT (-79.18637612400001 43.783950091)
165,Masaryk Memorial Institute Inc. - Czech and Slovak Cultural Centre,MMI is a not-for-profit charitable organization offering number of programmes and activities that promote and preserve the Czech and Slovak heritage in Canada.,,http://www.masaryktown.ca,Community,450 Scarborough Golf Club Road,327641.001,4845799.116,-79.216170331,43.7538063535,37713.0,166,POINT (-79.2161703309953 43.7538063534814)
166,Momiji Seniors Centre,Momiji is a not-for-profit organization offers assisted living and a wide range of community programs for seniors from Japanes Canadian and other cultural backgrounds in the greator Toronto area and beyond.,,http://www.momiji.on.ca,Community,3555 Kingston Road,327713.788,4844195.533,-79.2153343914,43.7393701329,37714.0,167,POINT (-79.2153343913684 43.7393701329262)
167,Native Child & Family Services (Richard Eade House),Service to protect children from all forms of maltreatment and to provide residential care for those children who need it.ÿ,,http://www.nativechild.org,Community,156A Galloway Road,329330.843,4846766.282,-79.195138827,43.762449888,37715.0,168,POINT (-79.19513882699999 43.762449888)
168,The Point,"The Point is an important community space located up the street from The Storefront hub. It is dedicated to supporting resident ideas for community change and is home to the offices of ANC, Residents Rising and the City Studies program of the University",,,Community,4117 Lawrence Avenue East,329459.983,4847190.899,-79.193518674,43.7662761371,37716.0,169,POINT (-79.1935186740469 43.7662761371349)
169,UNITY - UNIFFECT,UNIFFECT stands for Universial Effects and is a youth leaders group of UNITY. UNITY holds breakdancing Drop-in programs at the Don Montgomery CRC every Saturdays from 6-9pm.,https://twitter.com/Uniffect,http://www.unitycharity.com/uncategorized/uniffect,Community,2467 Eglinton Avenue East,323983.871,4843439.64,-79.261664565,43.732662615,38807.0,170,POINT (-79.261664565 43.732662615)
170,Warden Woods Community Centre,"A neighborhood-based multi-service agency offering diverse programmes and services, community projects and special events .",https://www.facebook.com/pages/Warden-Woods-Community-Centre/12257770090,http://www.wardenwoods.com,Community,74 Firvalley Court,322666.48,4840244.995,-79.278124242,43.70393994,37718.0,171,POINT (-79.278124242 43.70393994)
171,Wexford Heights BIA / Lawrence Avenue Project,"Wexford Heights BIA brings the business community and the residential community together to create a neighbourhood that would be a great place to live, work and play through the Taste of Lawrence and a major streetscaping campaign. Lawrence Avnue Project",https://twitter.com/WexfordBIA,http://www.wexfordbia.ca,Community,1720 Lawrence Avenue East,320162.963,4844545.711,-79.309064602,43.742707304,37719.0,172,POINT (-79.30906460200001 43.742707304)
172,Scarborough Civic Centre,"Scarborough Civic Centre is a municipal office that has venues for public use by non-profit and charitable groups. It also has gallery display area, an ice rink, and a performance space outdoors, Albert Campbell Square.",,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c07a957970422410VgnVCM10000071d60f89RCRD&vgnextchannel=68f2590dd3412410VgnVCM10000071d60f89RCRD,Community,150 Borough Drive,324327.227,4847900.922,-79.257240956,43.772810589,37720.0,173,POINT (-79.257240956 43.772810589)
173,Don Montgomery C.R.C,"A multi-purpose facility that offers a variety of programs such as cultural, creative, sports, youth, preschool, and seniors programs. Don Montgomery CRC is centrally located beside Kennedy Subway and Kennedy GO station for easy access.",,http://www1.toronto.ca/parks/prd/facilities/complex/712/,Community,2467 Eglinton Avenue East,323983.871,4843439.64,-79.261664565,43.732662615,37721.0,174,POINT (-79.261664565 43.732662615)
174,UTSC,"Post-secondary Institution, offers undergraduate and graduate studies, including Studio, Theatre, Art History, Music and Arts Management.",https://www.facebook.com/utsc1,http://www.utsc.utoronto.ca,Community,1265 Military Trail,330041.415,4849157.564,-79.186202187,43.783949618,37722.0,175,POINT (-79.18620218700001 43.783949618)
175,Hamish's Kitchen Restaurant,Hamish's offers fish and chips with relaxed atmosphere.,,,Business,641 Pharmacy Avenue,321610.802,4841018.081,-79.2912018134,43.710931469,37700.0,176,POINT (-79.2912018134123 43.710931469013)
176,Tara Inn,"Tara Inn is an Irish Pub offers traditional Irish breakfast, Irish pub food, and jumbo wings in variety of falvours.",,,Business,2351-2383 Kingston Road,324928.115,4840668.156,-79.2500497071,43.7076993946,38806.0,177,POINT (-79.2500497071276 43.7076993946123)
177,Bluffer's Restaurant,"Bluffer?s Restaurant is minutes from downtown Toronto, nestled in a 400-acre parkland with wall-to-wall windows and a breathtaking panoramic view of Scarborough Bluff?s Marina.Their International chefs have received the highest level of compliments in c",,http://www.bluffersparkrestaurant.com/HOME.html,Business,7 Brimley Road South,326394.059,4840515.614,-79.231862499,43.706276431,37702.0,178,POINT (-79.231862499 43.706276431)
178,Buster's Pub by the Bluffs,"Busters is a pub and is a short walk from the Scarborough Bluffs offering chicken wings, back ribs, and more.",,http://www.bustersbythebluffs.com/,Business,1539 Kingston Road,323478.281,4838636.03,-79.268110584,43.6894460088,37703.0,179,POINT (-79.2681105840356 43.6894460088271)
179,Won Studio,"Won Studio is a framing shop that provides frames, print, and art pieces.",,,Business,1567 Kingston Road,323533.572,4838677.59,-79.267423279,43.6898186852,37705.0,180,POINT (-79.26742327896051 43.6898186851851)
180,Prague Restaurant,"Prague Restaurant is a contemporary Euro-Canadian restaurant offering a wide range of Canadian and European dishes, including the famous Czech & Slovak cuisine. Closed on Mondays and Tuesdays.",,http://www.praguerestaurant.com/,Business,450 Scarborough Golf Club Road,327634.001,4845806.116,-79.21625377,43.753860966,37706.0,181,POINT (-79.21625376999999 43.753860966)
181,Oakridge Community Centre,"Oakridge Community Recreation Centre is a multi-purpose recreation centre located in the Oakridge community, which has a large population of newcomers to Canada. Oakridge is a designated Priority Centre, which means programs are offered free of charge. T",,http://www1.toronto.ca/parks/prd/facilities/complex/731/,Community,63 Pharmacy Avenue,322207.777,4839194.539,-79.283849829,43.694495381,37707.0,182,POINT (-79.283849829 43.694495381)
182,D'Ornellas Bike Cycling Club,D'Ornellas Cycling Club is a Toronto road bike club composed of men and women who share a common love of road cycling. It offers rides for both new and skilled cyclists. The club's most popular days are Saturday and Sunday mornings.,,http://www.dornellascyclingclub.ca/,Community,1894 Lawrence Avenue East,320788.93,4844737.615,-79.301287144,43.744421458,37709.0,183,POINT (-79.301287144 43.744421458)
183,AccessPoint on Danforth (Access Alliance),"A community space serving residents of Crescent Town, Teesdale, Secord-Lumsden and Dawes Road, and new immigrants and refugees living in Toronto",,http://www.accessalliance.ca/accesspoint,Community,3079 Danforth Avenue,321924.799,4838825.208,-79.2873753816,43.6911861169,37710.0,184,POINT (-79.2873753815679 43.6911861169467)
184,Birchmount Bluffs Neighbourhood Centre,"Birchmount Bluffs Neighbourhood Centre (BBNC) is a charitable, multi-service neighbourhood centre that offers a broad range of recreational, social and capacity-building programs to the southwest Scarborough community.",,http://www.bbnc.ca,Community,93 Birchmount Road,323879.352,4839324.488,-79.2631112069,43.6956326125,37711.0,185,POINT (-79.26311120691599 43.695632612456)
185,East Scarborough Storefront,East Scarborough Storefront is a partnership of community groups and social service agencies working together to create a thriving community in East Scarborough.,,http://www.thestorefront.org,Community,4040 Lawrence Avenue East,329017.575,4847159.955,-79.199011833,43.766003524,37712.0,186,POINT (-79.199011833 43.766003524)
186,Zen Japanese Restaurant,"Established in 1983, Zen Japanese Restaurant is aiming for the preservation of the traditional culture of Japanese cuisine, which gives the best impression of the cuisine to the patron while being loved by them.",,http://www.zenjapaneserestaurant.com/,Business,2803 Eglinton Avenue East,325349.124,4843916.841,-79.2447022987,43.7369302048,37687.0,187,POINT (-79.2447022986715 43.7369302047661)
187,Ghareeb Nawaz,"Ghareeb Nawas is a Hala restaurant known for the ""Best Biryani in Town"".",,,Business,1071 Danforth Road,325180.521,4843746.869,-79.2468018217,43.7354048485,37688.0,188,POINT (-79.246801821746 43.7354048484559)
188,Zena's Diner,"Zena's Diner offers Canadian and Middle Eastern Food, available for dine-in and take-out. They also offer daily lunch specials, banquet and catering service,",,,Business,2693 Eglinton Avenue East,324945.048,4843826.489,-79.2497220697,43.7361279421,37689.0,189,POINT (-79.24972206971709 43.7361279420518)
189,Tara Inn,"Tara Inn is an Irish Pub offers traditional Irish breakfast, Irish pub food, and jumbo wings in variety of falvours.",,,Business,2609 Eglinton Avenue East,324708.301,4843723.726,-79.2526647342,43.7352093197,37690.0,190,POINT (-79.25266473418949 43.7352093196553)
190,Sinopino Chinese Restaurant & Take-Out,Sinipino is a take-out restaurant that is known for chili chicken and spicy shrimp.,,,Business,790 Kennedy Road,323406.275,4843463.552,-79.268834164,43.732892446,37691.0,191,POINT (-79.268834164 43.732892446)
191,Chung Moi,"Chung Moi is family-owned, offering Chinese, Indian and Pakistani cuisine.",,,Business,2412 Eglinton Avenue East,323354.662,4843413.242,-79.2694797875,43.7324495035,37692.0,192,POINT (-79.26947978746161 43.7324495035427)
192,Armenian Kitchen,"Armenian Kitchen offers authentic Middle Eastern cuisine. They offer chawarma plate, shish kebab and vegetable combo plates. Take-out is also available.",,http://www.armenian-kitchen.com/contact.html,Business,1646 Victoria Park Avenue,320425.307,4843237.117,-79.3058484915,43.7309311107,37693.0,193,POINT (-79.305848491514 43.7309311106831)
193,Smith Brothers Steak House,Smith Bros. Steakhouse Tavern is based on one very simple idea??going out for a great steak & a couple of beers shouldn?t drain your wallet?,https://www.facebook.com/SmithBrothersSteakhouse,http://www.smithbrotherssteakhouse.com/,Business,880 Warden Avenue,321817.604,4842999.356,-79.2885729863,43.7287606635,37694.0,194,POINT (-79.2885729862537 43.7287606634748)
194,Pho Saigon,Pho Saigon offers a classic Vietnamese cuisine.,,,Business,1921 Eglinton Avenue East,321852.608,4842805.223,-79.2881446221,43.7270124417,37695.0,195,POINT (-79.288144622076 43.7270124416718)
195,Railee's Diner,Railee's feature open kitchen and photographs of the area from when the land served as a munition facturing compound during WWII. It serves all day breakfast and daily specials,,,Business,133 Manville Road,322292.189,4842782.806,-79.2826889236,43.7268005929,37696.0,196,POINT (-79.2826889235543 43.726800592874)
196,Wok With You,Wok With You offers Chinese food. It also offers Halal and extensive veggie menu.,,,Business,789 Warden Avenue,322020.738,4842705.277,-79.286057631,43.726100372,37698.0,197,POINT (-79.28605763100001 43.726100372)
197,Working Dog Saloon,The Working Dog Saloon is a place where friends meet. You can meet new friends. Come enjoy a good meal and cold beer. Try a glass of Signature Dog House Wines. Made especially for The Working Dog Saloon. Or try a Pint of Dogger Lager. Portion of sales fr,https://www.facebook.com/WorkingDogSaloon,http://workingdogsaloon.com/,Business,3676 St Clair Avenue East,324938.979,4841971.466,-79.2498659684,43.719430557,37699.0,198,POINT (-79.2498659684391 43.7194305569755)
198,Pak Centre Halal Restaurant,Pak Centre is a premier destination for fine Indian-Pakistani food.,https://www.facebook.com/PakCentre,http://www.pakcentre.ca/,Business,2683 Lawrence Avenue East,323992.064,4845553.814,-79.2614911493,43.7517014327,37674.0,199,POINT (-79.2614911492964 43.7517014326759)
199,Al Madina Halal Pizza and Bakery,"Open 7 days a week, Al Madina offers halal toppings and wings, delivery service and combo deals.",,http://almadinapizza.com/,Business,2683 Lawrence Avenue East,324006.064,4845567.814,-79.261313605,43.751818487,37675.0,200,POINT (-79.261313605 43.751818487)
200,"Ajmir Halal Pizza, Wings, and Kebab House","Ajmir offers halal pizza, wings, and some Afghan food such as kebab and rice platter.",,,Business,3879 Lawrence Avenue East,328212.82,4846818.054,-79.209022113,43.762951712,37676.0,201,POINT (-79.209022113 43.762951712)
201,Ahmutha Surabi,Ahmutha Surabi is a Tamil take-out and catering place that offers a variety of hoppers.,,,Business,2847 Lawrence Avenue East,324569.586,4845737.392,-79.254309883,43.753330185,37677.0,202,POINT (-79.254309883 43.753330185)
202,Halal Pizza Time,"Halal Pizza Time offers combo specials. Besides pizzas, they are also known for kebab and naan.",,,Business,561 Markham Road,326984.77,4846302.647,-79.224295373,43.758349845,37678.0,203,POINT (-79.224295373 43.758349845)
203,Lucky Chinese Restaurant,Lucky is a Hakka style Chinese Restaurant.,,,Business,3770-3774 Lawrence Avenue East,327793.408,4846765.028,-79.2142365413,43.7624960411,38803.0,204,POINT (-79.2142365412827 43.7624960410603)
204,Sooriyan Restaurant Takeout & Catering,Sooriyan is a Tamil take-out and catring joint.,,,Business,3863 Lawrence Avenue East,328176.156,4846804.472,-79.209478056,43.762830605,37680.0,205,POINT (-79.20947805599999 43.762830605)
205,Shalimar Sweets & Samosa,Shalimar offers halal Pakistani snacks and sweets along with kebabs and rice dishes.,,,Business,3867 Lawrence Avenue East,328186.099,4846808.891,-79.209354375,43.762870071,37681.0,206,POINT (-79.209354375 43.762870071)
206,West Hill Wine Bar,"West Hill Wine Bar offers local, organic and gluten-free menu. They are owned and operated by Top Chef Canada competitor Chris Kanka.",https://www.facebook.com/TheWestHillWineBar,http://www.westhillwinebar.com/home,Business,4637 Kingston Road,330768.856,4848120.283,-79.1772173711,43.774597225,37682.0,207,POINT (-79.1772173710842 43.7745972249829)
207,Ted's Restaurant,"Ted's been around since 1954, ""a great place to meet your friends"".",,,Business,404 Old Kingston Road,331419.934,4849228.639,-79.1690751674,43.7845504277,37683.0,208,POINT (-79.16907516738441 43.784550427661)
208,Black Dog Pub,Black Dog Pub is a winner of over 70 awards since their opening in 1993. They offer fine beer selection. Also available for  brunch and private functions.,,http://blackdogpub.tv/,Business,87 Island Road,333814.106,4850697.401,-79.1392504476,43.7976813362,37684.0,209,POINT (-79.1392504476494 43.7976813362256)
209,Twice as Nice,Twice as Nice is a Caribbean restaurant offering classic Caribbean dishes.,,,Business,4190 Kingston Road,329102.556,4846451.077,-79.1979914909,43.7596287739,37685.0,210,POINT (-79.19799149091391 43.7596287739497)
210,Anjappar Chettinad,Anjappar Chettinad Restaurant ÿis a franchises of South Indian Anjappar Restaurant Group in India with locations worldwide that brings the distinctive flavors of the famed South Indian Chettinad cuisine to sababh.,https://www.facebook.com/pages/Anjappar-Chettinad-Restaurant/137951832938573?sk=wall,http://www.anjapparcanada.com/,Business,3090 Eglinton Avenue East,326781.1,4844457.93,-79.2269029968,43.7417597917,37686.0,211,POINT (-79.22690299677519 43.7417597916819)
211,Pili Pili,Pili Pili is a takeout driven destination offering Tanzanian cuisine.,https://www.facebook.com/PiliPiliToronto,,Business,1960 Lawrence Avenue East,321034.757,4844797.323,-79.2982363212,43.7449621858,37663.0,212,POINT (-79.2982363212486 43.7449621857572)
212,Makkalchon,"Makkalchon is a Korean restaurant that specializes in Korean vegetable wraps, Bibimbap, and BBQ meat. They insist on only using natural and organic ingredients.",,http://makkalchon.com/,Business,1979 Lawrence Avenue East,321152.499,4844768.291,-79.2967752907,43.7446982806,37664.0,213,POINT (-79.2967752907464 43.7446982806021)
213,Pho Metro Asian Cuisine,Pho Metro offers Vietnamese cuisine in Wexford.,https://www.facebook.com/phometro.son,http://www.phometro.com/menu.html,Business,2057 Lawrence Avenue East,321357.002,4844815.966,-79.294231509,43.745114275,37665.0,214,POINT (-79.294231509 43.745114275)
214,Diana's Seafood Oyster Bar,Diana?s Oyster Bar & Grill is the Fine Dining Seafood Restaurant with best and fresh selection of seafood dishes.,https://www.facebook.com/DianasOysterBar,http://dianasoysterbar.com/,Business,2105 Lawrence Avenue East,321571.951,4844886.431,-79.2915635954,43.7457523103,37666.0,215,POINT (-79.291563595383 43.7457523103218)
215,The Rice Kitchen,The Rice Kitchen is a Chinese take-out and delivery offering a vast menu.,,http://thericekitchen.weebly.com/,Business,2131 Lawrence Avenue East,321834.137,4844928.772,-79.2883067698,43.7461274292,37667.0,216,POINT (-79.2883067698409 43.7461274292384)
216,Spice is Rite,"Spice is Rite offers Jamaican and Caribbean food for lunch and dinner. They also offer take-out, delivery and catering.",https://www.facebook.com/pages/SPICE-is-RITE/207876646018627,,Business,2179 Lawrence Avenue East,322194.413,4845060.575,-79.2838290831,43.7473055456,37668.0,217,POINT (-79.28382908314499 43.7473055456153)
217,Harry's Drive-in,Harry's is a burger and soulaki diner that's been in business since 1954.,,,Business,2280 Lawrence Avenue East,322721.749,4845291.947,-79.2772738222,43.7493756294,37669.0,218,POINT (-79.27727382222839 43.7493756293827)
218,Jesse Jr.,"Jesse Jr. specialize in delicious and reasonably priced Filipino cuisine, including house specialties and other customer favorites. Their cuisine entrees are served in a relaxed and welcoming setting.",,http://www.jessejr.net/,Business,1060 Kennedy Road,322881.897,4845255.622,-79.275283287,43.749036189,37670.0,219,POINT (-79.27528328699999 43.749036189)
219,Spicy Dragon,"Spicy Dragon specialize in Indian Hakka, Cantonese, and Szechan Style food. They offer dine-in, take-out and catering services. Halal dishes are available on request.",,http://www.spicydragonrestaurant.ca/,Business,1060 Kennedy Road,322867.897,4845241.622,-79.2754607962,43.7489191182,37671.0,220,POINT (-79.27546079617819 43.7489191182236)
220,Taste of Newfoundland Fish & Chips,"Taste of Newfoundland has everything is made fresh and  famous for their 'Fries, Dressing & Gravy'. They serve lunch, dinner and coffee in traditional American and British. Take-out is also available.",https://www.facebook.com/TasteOfNewfoundland,,Business,2655 Lawrence Avenue East,323884.153,4845497.874,-79.262833115,43.7512006335,37672.0,221,POINT (-79.2628331149556 43.7512006335033)
221,Challal Bakery,"Located in Wexford Heights BIA, Challal Bakery serves ""fresh pies B4 your eyes"" with spinach, zaatar, cheese and more.",,,Business,1960 Lawrence Avenue East,321020.757,4844811.323,-79.298406513,43.745079905,37653.0,222,POINT (-79.298406513 43.745079905)
222,Chris Bread Bakery,"Chris Bread is a bakery and catering company that specializes in sweet and savory prepared foods, signature bread, Sri Lankan and Indian foods. They also offer daily specials.",,,Business,2617 Eglinton Avenue East,324724.502,4843759.601,-79.2524623094,43.7355318031,37654.0,223,POINT (-79.2524623093874 43.7355318030512)
223,Patisserie Royale,"Patisserie Royale is your magic carpet to the delectable baklava and other desserts of the Middle East. From the tables of kings and princes to your table at home, they offer only the tastiest treats made from traditional recipes handed down through gene",https://www.twitter.com/PatisserieRoyal,http://www.patisserieroyale.com/?,Business,1801 Lawrence Avenue East,320472.786,4844524.495,-79.305221816,43.7425184517,37655.0,224,POINT (-79.3052218160333 43.7425184516661)
224,Curry & Roti,"The CURRY & ROTI  Restaurant is three generations strong since 1973, following a tradition of serving food in the healthiest environment and with utmost care. Rich in tradition and in flavours, the restaurant offers healthy eats with all natural ingredie",https://www.facebook.com/curryandrotirestaurant,http://www.curryandroti.com/home,Business,1732 Lawrence Avenue East,320196.918,4844540.562,-79.3086464074,43.742668857,37656.0,225,POINT (-79.30864640740511 43.7426688569831)
225,Naan & Kabob,"Naan & Kabob is a family run restaurant that opened in the summer of 2011. After frequenting this location for years before buying the restaurant, the restaurant went for sale and the family made a bold decision to take their traditional cooking skills t",https://www.facebook.com/pages/Naan-Kabob/370318106314162,,Business,1801 Lawrence Avenue East,320486.786,4844538.495,-79.305044379,43.742635569,37657.0,226,POINT (-79.30504437899999 43.742635569)
226,Pizza Land Halal,Pizzaland Halal is a growing restaurant and has been serving the Toronto and its surrounding Muslim communities for over 9 years. Their proper preparation according to the Halal practice has always remained a greater part of their service and dedication.,https://www.facebook.com/PizzalandHalal,http://www.pizzalandhalal.com/,Business,1801 Lawrence Avenue East,320458.786,4844538.495,-79.305392016,43.74263616,37658.0,227,POINT (-79.305392016 43.74263616)
227,Co-China Manilla,Co-China Manila is a family restaurant that offers Filipino and Chinese cuisine.,,,Business,1840-1848 Lawrence Avenue East,320535.327,4844644.225,-79.3044418574,43.7435948439,38801.0,228,POINT (-79.30444185740519 43.7435948439278)
228,Nasib's Shawarma & Falafel,Nasib's has been a family owned and operated restaurant since 1962. It strives to provide best quality food and service. Their food is homemade and carefully prepared to perfection. Their toppings for wraps and sandwiches are changed daily to make sure e,,http://nasibsshawarma.com/,Business,1867 Lawrence Avenue East,320716.982,4844620.163,-79.302183922,43.743365792,114631.0,229,POINT (-79.302183922 43.743365792)
229,Patna Kabab House,There is no better place than Patna Kabab House to enjoy the centuries old traditional dish like Bihari Kabab and Nihari. They  cook the Bihari Kabab in traditional way and use standard quality ingredients..,,http://patnakababhouse.com/home2.aspx,Business,1885 Lawrence Avenue East,320762.528,4844652.656,-79.3016206788,43.7436658949,37661.0,230,POINT (-79.30162067875069 43.7436658948661)
230,Taste of Beirut,"Taste of Beirut is a Middle Eastern restaurant offering halal shawarma, falafel, and shisk tawook.",,,Business,1960 Lawrence Avenue East,321048.757,4844811.323,-79.298058859,43.745079293,37662.0,231,POINT (-79.29805885899999 43.745079293)
231,Mimico Creek Bridge,"Located at the mouth of Mimico Creek, this bridge connects the two Humber Bay parks. With its white-tilted arch and the water beneath, it is a great place to enjoy nature and take photographs. The design of the bridge echoes the Humber Bay Bridge nearby.",,,Architecture,"-79.480353,43.621234",306369.717,4831033.293,-79.480353,43.621234,116473.0,232,POINT (-79.48035299999999 43.621234)
232,Lambton Canadian Pacific Railway Bridge,"This is the Canadian Pacific Railway main line crossing of the Humber River. It is 171 metres in length and was completed in 1874. The bridge began at the entrance to the Lambton Yards. The Lambton Yards opened in 1912 and was located north of Dundas, ea",,,Architecture,"-79.512277,43.662689",303793.854,4835638.649,-79.512277,43.662689,116474.0,233,POINT (-79.512277 43.662689)
233,Guelph Radial Line Bridge Tower Footings,"Only the footings for the steel towers remain of this bridge. It was part of the old Guelph Radial Line, an electric suburban rail line between Guelph and Toronto that operated from 1917 to 1931. The original bridge was completed in 1917 and was expanded",,,Architecture,"-79.511785,43.662352",303833.528,4835601.203,-79.511785,43.662352,116475.0,234,POINT (-79.511785 43.662352)
234,Dundas Street Bridge,This bridge was built in 1929 and is 195 metres in length and 18.29 metres wide. It was widened in 2009 for bicycle lanes.,,,Architecture,"-79.505289,43.662879",304357.448,4835659.673,-79.505289,43.662879,116476.0,235,POINT (-79.505289 43.662879)
235,Lambton Mills Bridge Abutments,There were a series of bridges on Lambton Mills' site between the years of 1811 and 1955. Here you can find traces of an abutment that once supported those bridges.,,,Architecture,"-79.503130,43.654535",304531.556,4834732.696,-79.50313,43.654535,116477.0,236,POINT (-79.50313 43.654535)
236,Old Mill Bridge,"The Old Mill Bridge was erected in 1916 during World War I to replace a wooden bridge that was constantly damaged by the spring ice flows. Coats of arms can be found on its sides, one representing the Municipality of Etobicoke and the other representing",,,Architecture,"-79.491232,43.651455",305491.397,4834390.541,-79.491232,43.651455,116478.0,237,POINT (-79.491232 43.651455)
237,Old Mill Subway Station Bridge,The Old Mill Subway Station Bridge was completed in 1968. It was built with concrete and is unique as its sole function is to serve as a subway station and line.,,,Architecture,"-79.491640,43.648877",305458.496,4834104.147,-79.49164,43.648877,116479.0,238,POINT (-79.49164 43.648877)
238,Bloor Street Bridge,"Built in 1924 in an Art Deco style, the Bloor Street Bridge spans the valley walls of the Lower Humber. At the time of its completion it was known as the Bloor Street Viaduct. It is one of the few bridges that survived Hurricane Hazel.",,,Architecture,"-79.491983,43.648474",305430.83,4834059.373,-79.491983,43.648474,116480.0,239,POINT (-79.491983 43.648474)
239,Humber River Bicycle-Pedestrian Bridge,"Located at the mouth of the Humber River, this 130-metre long bridge, completed in 1996, is the river's landmark. The double-tubular arches with a steel cross-bracing structure connects to the river¿s cultural history with a design based on the thunderbi",,,Architecture,"-79.471255,43.631889",307103.649,4832217.182,-79.471255,43.631889,116481.0,240,POINT (-79.471255 43.631889)
240,Etobicoke Civic Centre,"The Etobicoke Civic Centre opened in 1958. Before the amalgamation of Etobicoke into the City of Toronto, the building was the Etobicoke City Hall, housing the municipal government. The building now functions as a meeting place for the Etobicoke York Com",,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=5e97c671dc412410VgnVCM10000071d60f89RCRD&vgnextchannel=68f2590dd3412410VgnVCM10000071d60f89RCRD,Architecture,399 The West Mall,299503.625,4833538.964,-79.5654560752,43.6437806,116482.0,241,POINT (-79.56545607523699 43.6437805999956)
241,Mimico Square,"Mimico-by-the-Lake BIA offers annual events at Mimico Square including Sunday Summer Jams, Mimico Pumpkin Parade and a tree lighting among many others.",,,Community,"-79.488948,43.613840",305676.133,4830211.745,-79.488948,43.61384,116483.0,242,POINT (-79.48894799999999 43.61384)
242,Jean Augustine Centre for Young Women's Empowerment,"This centre offers support to young women by providing life-skill training programs such as cooking, sewing, gardening and certified one-on-one personal life coaching. The centre was named after Jean Augustine, a community advocate, the first African Can",,http://pactprogram.ca/jean-augustine-centre-partners/,Community,"-79.4985934344,43.6189374031",304897.581,4830778.002,-79.4985934344,43.6189374031,116672.0,243,POINT (-79.49859343439999 43.6189374031)
243,Placebo Space,"A live entertainment venue, co-working, event space and art bar.",,http://www.placebospace.ca/,Hot Eats,2877 Lake Shore Blvd W,304511.881,4828772.29,-79.5033749967,43.6008921564,116644.0,244,POINT (-79.5033749966581 43.6008921564488)
244,Posticino Ristorante,Combining classic Italian dishes with a modern twist; created with only the finest ingredients.,,http://posticino.com/,Hot Eats,755 The Queensway,304492.032,4831553.63,-79.5036219307,43.6259274737,116645.0,245,POINT (-79.5036219307069 43.6259274736749)
245,Prince Japanese Steakhouse,Offers authentic Japanese and Teppanyaki fine dining experience.,,http://www.spoonandfork.ca/prince-steakhouse/welcome/,Hot Eats,5555 Eglinton Ave W,296432.104,4834237.696,-79.6035400499,43.6500416063,116653.0,246,POINT (-79.6035400499327 43.6500416063359)
246,Queensway Fish and Chips,The original owners are proud to continue serving fish and chips on The Queensway for over 37 years.,,http://queenswayfishandchips.com/,Hot Eats,1236 The Queensway,302797.198,4831092.796,-79.5246220322,43.6217769882,116646.0,247,POINT (-79.5246220321804 43.6217769882184)
